Gene	Set	Ensembl Gene ID	Description	Chromosome Name	Band	Gene Start (bp)	Gene End (bp)							
TYROBP	Immune141_UP	ENSG00000011600	TYRO protein tyrosine kinase binding protein [Source:HGNC Symbol;Acc:12449]	19	q13.12	36395312	36399211							
FGL2	Immune141_UP	ENSG00000127951	fibrinogen-like 2 [Source:HGNC Symbol;Acc:3696]	7	q11.23	76822688	76829143							
FLI1	Immune141_UP	ENSG00000151702	Friend leukemia virus integration 1 [Source:HGNC Symbol;Acc:3749]	11	q24.3	128555046	128683161							
IRF8	Immune141_UP	ENSG00000140968	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:5358]	16	q24.1	85932409	85956197							
ARHGAP15	Immune141_UP	ENSG00000075884	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:21030]	2	q22.2	143848931	144525921							
SH2B3	Immune141_UP	ENSG00000111252	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:29605]	12	q24.12	111843752	111889427							
TNFRSF1B	Immune141_UP	ENSG00000028137	"tumor necrosis factor receptor superfamily, member 1B [Source:HGNC Symbol;Acc:11917]"	1	p36.22	12227060	12269285							
DOCK2	Immune141_UP	ENSG00000134516	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:2988]	5	q35.1	169064251	169510386							
CD2	Immune141_UP	ENSG00000116824	CD2 molecule [Source:HGNC Symbol;Acc:1639]	1	p13.1	117297007	117311850							
ARHGEF6	Immune141_UP	ENSG00000129675	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6 [Source:HGNC Symbol;Acc:685]	X	q26.3	135747706	135864247							
CORO1A	Immune141_UP	ENSG00000102879	"coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:2252]"	16	p11.2	30194892	30200397							
LY96	Immune141_UP	ENSG00000154589	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:17156]	8	q21.11	74903587	74941322							
LYZ	Immune141_UP	ENSG00000090382	lysozyme [Source:HGNC Symbol;Acc:6740]	12	q15	69742121	69748014							
ITGAL	Immune141_UP	ENSG00000005844	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]"	16	p11.2	30483983	30534505							
TNFAIP3	Immune141_UP	ENSG00000118503	"tumor necrosis factor, alpha-induced protein 3 [Source:HGNC Symbol;Acc:11896]"	6	q23.3	138188351	138204449							
RNASE6	Immune141_UP	ENSG00000169413	"ribonuclease, RNase A family, k6 [Source:HGNC Symbol;Acc:10048]"	14	q11.2	21249210	21250626							
TGFB1	Immune141_UP	ENSG00000105329	"transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]"	19	q13.2	41836813	41859831							
PSTPIP1	Immune141_UP	ENSG00000140368	proline-serine-threonine phosphatase interacting protein 1 [Source:HGNC Symbol;Acc:9580]	15	q24.3	77287465	77329671							
CST7	Immune141_UP	ENSG00000077984	cystatin F (leukocystatin) [Source:HGNC Symbol;Acc:2479]	20	p11.21	24929866	24940564							
RGS1	Immune141_UP	ENSG00000090104	regulator of G-protein signaling 1 [Source:HGNC Symbol;Acc:9991]	1	q31.2	192544857	192549161							
FGR	Immune141_UP	ENSG00000000938	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog [Source:HGNC Symbol;Acc:3697]	1	p36.11	27938575	27961788							
SELL	Immune141_UP	ENSG00000188404	selectin L [Source:HGNC Symbol;Acc:10720]	1	q24.2	169659808	169680839							
MICAL1	Immune141_UP	ENSG00000135596	"microtubule associated monoxygenase, calponin and LIM domain containing 1 [Source:HGNC Symbol;Acc:20619]"	6	q21	109765265	109787171							
TRAF3IP3	Immune141_UP	ENSG00000009790	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:30766]	1	q32.2	209929377	209955668							
ITGA4	Immune141_UP	ENSG00000115232	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) [Source:HGNC Symbol;Acc:6140]"	2	q31.3	182321619	182400914							
MAFB	Immune141_UP	ENSG00000204103	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian) [Source:HGNC Symbol;Acc:6408]	20	q12	39314488	39317880							
ARHGDIB	Immune141_UP	ENSG00000111348	Rho GDP dissociation inhibitor (GDI) beta [Source:HGNC Symbol;Acc:679]	12	p12.3	15094951	15114662							
IL4R	Immune141_UP	ENSG00000077238	interleukin 4 receptor [Source:HGNC Symbol;Acc:6015]	16	p12.1	27325247	27376099							
RHOH	Immune141_UP	ENSG00000168421	"ras homolog gene family, member H [Source:HGNC Symbol;Acc:686]"	4	p14	40192673	40246281							
HLA-DPA1	Immune141_UP	ENSG00000235844	"major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:4938]"	HSCHR6_MHC_APD	0	33015768	33031962							
NKG7	Immune141_UP	ENSG00000105374	natural killer cell group 7 sequence [Source:HGNC Symbol;Acc:7830]	19	q13.41	51874874	51875960							
NCF4	Immune141_UP	ENSG00000100365	"neutrophil cytosolic factor 4, 40kDa [Source:HGNC Symbol;Acc:7662]"	22	q12.3	37257030	37274057							
LPXN	Immune141_UP	ENSG00000110031	leupaxin [Source:HGNC Symbol;Acc:14061]	11	q12.1	58294344	58345693							
ITK	Immune141_UP	ENSG00000113263	IL2-inducible T-cell kinase [Source:HGNC Symbol;Acc:6171]	5	q33.3	156569944	156682201							
SELPLG	Immune141_UP	ENSG00000110876	selectin P ligand [Source:HGNC Symbol;Acc:10722]	12	q24.11	109015686	109027735							
HLA-DPB1	Immune141_UP	ENSG00000236693	"major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:4940]"	HSCHR6_MHC_APD	0	33027107	33038372							
CD3D	Immune141_UP	ENSG00000167286	"CD3d molecule, delta (CD3-TCR complex) [Source:HGNC Symbol;Acc:1673]"	11	q23.3	118209669	118213459							
CD300A	Immune141_UP	ENSG00000167851	CD300a molecule [Source:HGNC Symbol;Acc:19319]	17	q25.1	72462522	72480933							
IL2RB	Immune141_UP	ENSG00000100385	"interleukin 2 receptor, beta [Source:HGNC Symbol;Acc:6009]"	22	q12.3	37515126	37571094							
ADCY7	Immune141_UP	ENSG00000121281	adenylate cyclase 7 [Source:HGNC Symbol;Acc:238]	16	q12.1	50300462	50352046							
PTGER4	Immune141_UP	ENSG00000171522	prostaglandin E receptor 4 (subtype EP4) [Source:HGNC Symbol;Acc:9596]	5	p13.1	40679600	40693837							
SRGN	Immune141_UP	ENSG00000122862	serglycin [Source:HGNC Symbol;Acc:9361]	10	q22.1	70847862	70864567							
CD247	Immune141_UP	ENSG00000198821	CD247 molecule [Source:HGNC Symbol;Acc:1677]	1	q24.2	167399877	167487847							
CCR7	Immune141_UP	ENSG00000126353	chemokine (C-C motif) receptor 7 [Source:HGNC Symbol;Acc:1608]	17	q21.2	38710021	38721724							
MSN	Immune141_UP	ENSG00000147065	moesin [Source:HGNC Symbol;Acc:7373]	X	q12	64887537	64961791							
ALOX5AP	Immune141_UP	ENSG00000132965	arachidonate 5-lipoxygenase-activating protein [Source:HGNC Symbol;Acc:436]	13	q12.3	31309645	31338556							
PTGER2	Immune141_UP	ENSG00000125384	"prostaglandin E receptor 2 (subtype EP2), 53kDa [Source:HGNC Symbol;Acc:9594]"	14	q22.1	52781023	52795324							
RAC2	Immune141_UP	ENSG00000128340	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) [Source:HGNC Symbol;Acc:9802]"	22	q13.1	37621301	37640488							
GBP2	Immune141_UP	ENSG00000162645	"guanylate binding protein 2, interferon-inducible [Source:HGNC Symbol;Acc:4183]"	1	p22.2	89571815	89616139							
VAV1	Immune141_UP	ENSG00000141968	vav 1 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12657]	19	p13.3	6772722	6857371							
CLEC2B	Immune141_UP	ENSG00000110852	"C-type lectin domain family 2, member B [Source:HGNC Symbol;Acc:2053]"	12	p13.31	10005583	10022735							
P2RY14	Immune141_UP	ENSG00000174944	"purinergic receptor P2Y, G-protein coupled, 14 [Source:HGNC Symbol;Acc:16442]"	3	q25.1	150929905	150996255							
NFKBIA	Immune141_UP	ENSG00000100906	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Source:HGNC Symbol;Acc:7797]"	14	q13.2	35870717	35873955							
S100A9	Immune141_UP	ENSG00000163220	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:10499]	1	q21.3	153330330	153333503							
IFI30	Immune141_UP	ENSG00000216490	"interferon, gamma-inducible protein 30 [Source:HGNC Symbol;Acc:5398]"	19	p13.11	18284579	18288927							
MFSD1	Immune141_UP	ENSG00000118855	major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:25874]	3	q25.32	158449987	158547508							
RASSF2	Immune141_UP	ENSG00000101265	Ras association (RalGDS/AF-6) domain family member 2 [Source:HGNC Symbol;Acc:9883]	20	p13	4760669	4804291							
TPP1	Immune141_UP	ENSG00000166340	tripeptidyl peptidase I [Source:HGNC Symbol;Acc:2073]	11	p15.4	6634000	6640692							
RHOG	Immune141_UP	ENSG00000177105	"ras homolog gene family, member G (rho G) [Source:HGNC Symbol;Acc:672]"	11	p15.4	3848208	3862213							
CLEC4A	Immune141_UP	ENSG00000111729	"C-type lectin domain family 4, member A [Source:HGNC Symbol;Acc:13257]"	12	p13.31	8276228	8291203							
GZMB	Immune141_UP	ENSG00000100453	"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1) [Source:HGNC Symbol;Acc:4709]"	14	q12	25100160	25103473							
PVRIG	Immune141_UP	ENSG00000213413	poliovirus receptor related immunoglobulin domain containing [Source:HGNC Symbol;Acc:32190]	7	q22.1	99815864	99819113							
S100A8	Immune141_UP	ENSG00000143546	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:10498]	1	q21.3	153362508	153363664							
CASP1	Immune141_UP	ENSG00000137752	"caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase) [Source:HGNC Symbol;Acc:1499]"	11	q22.3	104896170	104972158							
BCL2A1	Immune141_UP	ENSG00000140379	BCL2-related protein A1 [Source:HGNC Symbol;Acc:991]	15	q25.1	80253231	80263788							
HLA-E	Immune141_UP	ENSG00000236632	"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:4962]"	HSCHR6_MHC_MANN	0	30501925	30506663							
KLRB1	Immune141_UP	ENSG00000111796	"killer cell lectin-like receptor subfamily B, member 1 [Source:HGNC Symbol;Acc:6373]"	12	p13.31	9747147	9760482							
GNLY	Immune141_UP	ENSG00000115523	granulysin [Source:HGNC Symbol;Acc:4414]	2	p11.2	85912298	85925977							
RAB27A	Immune141_UP	ENSG00000069974	"RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:9766]"	15	q21.3	55495164	55582001							
IL18RAP	Immune141_UP	ENSG00000115607	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:5989]	2	q12.1	103035149	103069025							
TPST2	Immune141_UP	ENSG00000128294	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:12021]	22	q12.1	26921458	26992681							
EMP3	Immune141_UP	ENSG00000142227	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:3335]	19	q13.33	48828629	48833810							
GMIP	Immune141_UP	ENSG00000089639	GEM interacting protein [Source:HGNC Symbol;Acc:24852]	19	p13.11	19740288	19754455							
LCK	Immune141_UP	ENSG00000182866	lymphocyte-specific protein tyrosine kinase [Source:HGNC Symbol;Acc:6524]	1	p35.1	32716840	32751766							
IL32	Immune141_UP	ENSG00000008517	interleukin 32 [Source:HGNC Symbol;Acc:16830]	16	p13.3	3115298	3131908							
PTPRCAP	Immune141_UP	ENSG00000213402	"protein tyrosine phosphatase, receptor type, C-associated protein [Source:HGNC Symbol;Acc:9667]"	11	q13.2	67202981	67205538							
LGALS9	Immune141_UP	ENSG00000168961	"lectin, galactoside-binding, soluble, 9 [Source:HGNC Symbol;Acc:6570]"	17	q11.2	25956824	25976586							
CCDC69	Immune141_UP	ENSG00000198624	coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:24487]	5	q33.1	150560613	150603706							
SAMHD1	Immune141_UP	ENSG00000101347	SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:15925]	20	q11.23	35518632	35580246							
TAP1	Immune141_UP	ENSG00000227816	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:HGNC Symbol;Acc:43]"	HSCHR6_MHC_APD	0	32796593	32805362							
GBP1	Immune141_UP	ENSG00000117228	"guanylate binding protein 1, interferon-inducible [Source:HGNC Symbol;Acc:4182]"	1	p22.2	89518002	89531043							
CTSS	Immune141_UP	ENSG00000163131	cathepsin S [Source:HGNC Symbol;Acc:2545]	1	q21.3	150702551	150738433							
GZMH	Immune141_UP	ENSG00000100450	"granzyme H (cathepsin G-like 2, protein h-CCPX) [Source:HGNC Symbol;Acc:4710]"	14	q12	25075686	25078905							
ADAM8	Immune141_UP	ENSG00000151651	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:215]	10	q26.3	135075907	135090407							
GLRX	Immune141_UP	ENSG00000173221	glutaredoxin (thioltransferase) [Source:HGNC Symbol;Acc:4330]	5	q15	95087023	95158709							
PRF1	Immune141_UP	ENSG00000180644	perforin 1 (pore forming protein) [Source:HGNC Symbol;Acc:9360]	10	q22.1	72357104	72362531							
CD69	Immune141_UP	ENSG00000110848	CD69 molecule [Source:HGNC Symbol;Acc:1694]	12	p13.31	9905082	9913497							
HLA-B	Immune141_UP	ENSG00000234745	"major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:4932]"	6	p21.33	31321649	31324965							
HLA-DMA	Immune141_UP	ENSG00000242361	"major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:4934]"	HSCHR6_MHC_APD	0	32899979	32904491							
CD74	Immune141_UP	ENSG00000019582	"CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]"	5	q32	149781200	149792492							
KLRK1	Immune141_UP	ENSG00000213809	"killer cell lectin-like receptor subfamily K, member 1 [Source:HGNC Symbol;Acc:18788]"	12	p13.2	10524952	10544473							
PTPRE	Immune141_UP	ENSG00000132334	"protein tyrosine phosphatase, receptor type, E [Source:HGNC Symbol;Acc:9669]"	10	q26.2	129705325	129884119							
HLA-DRA	Immune141_UP	ENSG00000227993	"major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:4947]"	HSCHR6_MHC_COX	0	32355870	32361037							
VNN2	Immune141_UP	ENSG00000112303	vanin 2 [Source:HGNC Symbol;Acc:12706]	6	q23.2	133065009	133084598							
TCIRG1	Immune141_UP	ENSG00000110719	"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3 [Source:HGNC Symbol;Acc:11647]"	11	q13.2	67806483	67818362							
RABGAP1L	Immune141_UP	ENSG00000152061	RAB GTPase activating protein 1-like [Source:HGNC Symbol;Acc:24663]	1	q25.1	174128548	174964445							
CSTA	Immune141_UP	ENSG00000121552	cystatin A (stefin A) [Source:HGNC Symbol;Acc:2481]	3	q21.1	122044091	122060819							
ZAP70	Immune141_UP	ENSG00000115085	zeta-chain (TCR) associated protein kinase 70kDa [Source:HGNC Symbol;Acc:12858]	2	q11.2	98330023	98356325							
HLA-F	Immune141_UP	ENSG00000237508	"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:4963]"	HSCHR6_MHC_MANN	0	29687660	29703415							
HLA-G	Immune141_UP	ENSG00000204632	"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:4964]"	6	p22.1	29794744	29798902							
CD52	Immune141_UP	ENSG00000169442	CD52 molecule [Source:HGNC Symbol;Acc:1804]	1	p36.11	26644448	26647014							
CD302	Immune141_UP	ENSG00000241399	CD302 molecule [Source:HGNC Symbol;Acc:30843]	2	q24.2	160625364	160654753							
CD27	Immune141_UP	ENSG00000139193	CD27 molecule [Source:HGNC Symbol;Acc:11922]	12	p13.31	6554033	6560884							
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
